Id,Weight
1,171
2,174
3,197
4,155
5,156
6,197
7,155
8,199
9,170
10,192
11,167
12,151
13,175
14,192
15,156
16,186
17,176
18,184
19,193
20,165
21,155
22,174
23,157
24,157
25,173
26,175
27,168
28,181
29,173
30,179
31,163
32,169
33,179
34,192
35,183
36,187
37,192
38,186
39,167
40,185
41,182
42,179
43,166
44,156
45,150
46,189
47,173
48,167
49,157
50,181
51,176
52,196
53,167
54,167
55,182
56,185
57,172
58,151
59,197
60,185
61,165
62,197
63,196
64,185
65,157
66,187
67,170
68,160
69,195
70,180
71,151
72,191
73,154
74,196
75,180
76,154
77,199
78,167
79,172
80,186
81,180
82,167
83,199
84,158
85,164
86,171
87,186
88,173
89,158
90,165
91,182
92,168
93,186
94,178
95,181
96,198
97,175
98,168
99,183
100,155
101,163
102,181
103,196
104,162
105,196
106,154
107,199
108,190
109,164
110,189
111,151
112,174
113,168
114,176
115,160
116,175
117,158
118,166
119,155
120,171
121,196
122,185
123,180
124,176
125,164
126,182
127,195
128,181
129,162
130,174
131,157
132,162
133,188
134,182
135,199
136,160
137,162
138,159
139,155
140,155
141,175
142,195
143,174
144,196
145,185
146,185
147,156
148,183
149,157
150,176
151,163
152,196
153,185
154,193
155,188
156,189
157,181
158,155
159,171
160,171
161,152
162,167
163,189
164,151
165,186
166,193
167,160
168,152
169,166
170,180
171,191
172,150
173,196
174,152
175,178
176,200
177,157
178,196
179,158
180,174
181,199
182,151
183,198
184,156
185,175
186,151
187,190
188,168
189,191
190,178
191,154
192,194
193,200
194,152
195,167
196,152
197,164
198,170
199,177
200,186
201,154
202,153
203,194
204,168
205,175
206,170
207,191
208,160
209,184
210,165
211,182
212,154
213,156
214,157
215,184
216,185
217,192
218,156
219,154
220,155
221,155
222,191
223,167
224,172
225,160
226,166
227,155
228,187
229,159
230,173
231,159
232,194
233,165
234,166
235,191
236,151
237,161
238,167
239,191
240,159
241,189
242,178
243,191
244,197
245,165
246,191
247,182
248,162
249,157
250,163
251,176
252,182
253,175
254,183
255,181
256,197
257,156
258,192
259,163
260,195
261,168
262,178
263,167
264,187
265,198
266,166
267,181
268,170
269,154
270,163
271,150
272,163
273,163
274,185
275,200
276,175
277,180
278,191
279,166
280,151
281,194
282,150
283,200
284,160
285,174
286,199
287,181
288,171
289,192
290,161
291,185
292,163
293,175
294,183
295,154
296,174
297,198
298,177
299,185
300,162
301,165
302,163
303,159
304,173
305,184
306,182
307,171
308,165
309,161
310,182
311,195
312,179
313,199
314,174
315,175
316,157
317,189
318,151
319,164
320,174
321,196
322,184
323,189
324,153
325,170
326,191
327,196
328,161
329,193
330,175
331,159
332,187
333,159
334,197
335,166
336,153
337,164
338,164
339,185
340,181
341,193
342,150
343,159
344,181
345,179
346,161
347,185
348,184
349,181
350,173
351,155
352,180
353,190
354,180
355,152
356,159
357,153
358,193
359,196
360,172
361,171
362,159
363,161
364,197
365,160
366,170
367,163
368,167
369,159
370,168
371,198
372,187
373,190
374,194
375,172
376,188
377,179
378,161
379,151
380,173
381,181
382,181
383,178
384,155
385,195
386,189
387,169
388,163
389,152
390,198
391,164
392,160
393,178
394,174
395,153
396,181
397,152
398,164
399,171
400,150
401,153
402,200
403,191
404,196
405,200
406,197
407,176
408,165
409,174
410,197
411,183
412,198
413,193
414,179
415,195
416,169
417,155
418,162
419,167
420,156
421,191
422,185
423,173
424,187
425,167
426,184
427,182
428,158
429,182
430,166
431,189
432,191
433,166
434,152
435,185
436,175
437,173
438,195
439,155
440,193
441,187
442,154
443,173
444,187
445,183
446,175
447,178
448,172
449,156
450,182
451,157
452,200
453,174
454,156
455,190
456,180
457,160
458,153
459,150
460,165
461,174
462,162
463,164
464,172
465,186
466,150
467,160
468,183
469,166
470,164
471,164
472,183
473,166
474,177
475,192
476,179
477,163
478,155
479,166
480,199
481,200
482,154
483,160
484,152
485,166
486,182
487,153
488,184
489,184
490,186
491,183
492,180
493,198
494,156
495,188
496,186
497,160
498,181
499,188
500,177
501,152
502,157
503,153
504,157
505,154
506,157
507,153
508,178
509,167
510,197
511,151
512,182
513,164
514,189
515,180
516,173
517,156
518,193
519,154
520,190
521,190
522,161
523,181
524,188
525,186
526,193
527,151
528,168
529,169
530,155
531,171
532,152
533,199
534,184
535,176
536,161
537,183
538,161
539,182
540,166
541,200
542,197
543,161
544,183
545,180
546,159
547,191
548,165
549,162
550,181
551,169
552,195
553,195
554,196
555,180
556,190
557,160
558,152
559,189
560,189
561,178
562,188
563,189
564,176
565,198
566,171
567,154
568,152
569,196
570,180
571,183
572,198
573,153
574,166
575,159
576,191
577,170
578,199
579,154
580,183
581,169
582,166
583,181
584,189
585,194
586,185
587,193
588,191
589,167
590,190
